City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Avarua,CK,73.45,light rain,-21.2078,-159.775,Paradise Inn
3,Butaritari,KI,81.0,light rain,3.0707,172.7902,Isles Sunset Lodge
4,Wabag,PG,71.24,overcast clouds,-5.4781,143.7021,Shalom Inn
5,Atuona,PF,76.75,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
6,San Patricio,US,82.35,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
7,North Bend,US,84.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
8,Kewanee,US,71.47,scattered clouds,41.2456,-89.9248,AmericInn by Wyndham Kewanee
9,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
10,Hamilton,US,75.76,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
13,Rikitea,PF,71.64,light rain,-23.1203,-134.9692,People ThankYou
14,Manavalakurichi,IN,76.8,overcast clouds,8.1333,77.3,Jebinrio home
15,Pedernales,DO,82.78,overcast clouds,18.0384,-71.744,Hotel Costa Marina
18,Maragogi,BR,73.18,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
20,Korla,CN,75.13,clear sky,41.7597,86.1469,Gulisitan Hotel
21,Ponta Do Sol,PT,70.72,clear sky,32.6667,-17.1,Hotel do Campo
22,Corn Island,NI,80.6,overcast clouds,12.1694,-83.0418,Big Fish Guest House
24,Arraial Do Cabo,BR,66.88,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
26,Lata,PT,67.82,broken clouds,40.1629,-8.3327,Casa Maquia
27,Yulara,AU,65.48,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
28,Sitka,US,58.89,overcast clouds,57.0531,-135.33,Westmark Sitka
31,Tautira,PF,77.2,few clouds,-17.7333,-149.15,Pension Oaoa
36,Calvia,ES,81.07,overcast clouds,39.5657,2.5062,Castell Son Claret
37,Bengkulu,ID,78.94,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
38,Nhulunbuy,AU,84.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
39,Fort Nelson,CA,60.39,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
41,Whitewater,US,67.82,clear sky,42.8336,-88.7323,Baymont by Wyndham Whitewater
42,Port Hardy,CA,62.78,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
43,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Upata,VE,72.14,overcast clouds,8.0086,-62.3989,Posada Villa Nela
45,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
46,Castro Verde,PT,63.82,clear sky,37.6983,-8.0858,Hotel A Esteva
47,Nakhon Si Thammarat,TH,80.6,moderate rain,8.25,100.0,ร้านไอซ์โมสีshop
49,Codajas,BR,80.85,scattered clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
50,Beira,MZ,68.27,clear sky,-19.8436,34.8389,Beira Terrace Hotel
52,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
53,Carnarvon,AU,64.04,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
56,Hasaki,JP,84.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
58,Bull Savanna,JM,78.57,clear sky,17.8868,-77.5902,Big Red's
59,Jamestown,US,69.03,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
60,Coahuayana,MX,75.38,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
62,Ahipara,NZ,57.13,clear sky,-35.1667,173.1667,Ahipara Holiday Park
64,Hualmay,PE,61.3,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
65,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
68,Itaituba,BR,81.77,scattered clouds,-4.2761,-55.9836,Hotel Campos
69,Forbes,AU,63.91,overcast clouds,-33.3833,148.0167,Lake Forbes Motel
72,Marsabit,KE,62.28,clear sky,2.3284,37.9899,Chicho Hotel
76,Changli,CN,68.49,clear sky,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
79,Takoradi,GH,74.8,overcast clouds,4.8845,-1.7554,Raybow International Hotel
80,Omboue,GA,74.12,few clouds,-1.5746,9.2618,Hotel Olako
81,De Panne,BE,65.23,overcast clouds,51.0792,2.5917,Hotel aan Zee
82,Bridlington,GB,64.53,broken clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
85,Hithadhoo,MV,82.04,overcast clouds,-0.6,73.0833,Scoop Guest House
86,Ribeira Grande,PT,74.84,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
89,Mar Del Plata,AR,64.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
90,Luanda,AO,69.01,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
91,Williams Lake,CA,71.06,scattered clouds,52.1415,-122.1445,Stampeder Motel
92,Sochi,RU,66.29,scattered clouds,43.6,39.7303,Bounty Hotel
93,Topeka,US,78.58,clear sky,39.0483,-95.678,Hotel Topeka At City Center
95,East London,ZA,59.09,clear sky,-33.0153,27.9116,Tu Casa
97,Tabou,CI,74.97,light rain,4.423,-7.3528,hotêl doufoulougou
98,Naousa,GR,65.5,broken clouds,40.6329,22.0534,Hotel - Restaurant The Island of Margarita
100,Puerto Del Rosario,ES,73.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
101,Kalat,PK,64.2,clear sky,29.0225,66.5916,Balochi Biryani
102,Saint Albans,GB,64.15,few clouds,51.75,-0.3333,The White Hart
104,Thompson,CA,78.96,scattered clouds,55.7435,-97.8558,Burntwood Hotel
105,Nantucket,US,70.02,clear sky,41.2835,-70.0995,Jared Coffin House
107,Lima,PE,60.91,few clouds,-12.0432,-77.0282,Hotel Kamana
108,Vao,NC,67.08,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
110,Deder,ET,56.73,light rain,9.3167,41.45,Ayube Hotel
116,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
117,Kendari,ID,76.15,overcast clouds,-3.945,122.4989,Hotel Wixel
118,Hihya,EG,70.97,clear sky,30.6713,31.588,مضيفة المركز
120,Bethel,US,73.76,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
121,Kavieng,PG,84.15,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
122,Klaksvik,FO,56.32,light rain,62.2266,-6.589,Airbnb rooms
123,Antsohihy,MG,70.25,clear sky,-14.8796,47.9875,Hotel de Ville
126,Bambous Virieux,MU,70.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
127,Domoni,KM,72.32,light rain,-12.2569,44.5319,Al Djadid
129,Torbay,CA,62.76,overcast clouds,47.6666,-52.7314,Gallows Cove
131,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
132,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
133,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
134,Marzuq,YE,81.79,overcast clouds,14.4,46.4667,حيد القفلة
135,Fortuna,US,72.09,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
138,Sioux Lookout,CA,69.87,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
143,Pontianak,ID,73.38,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
144,Pitimbu,BR,72.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
145,Hervey Bay,AU,69.03,few clouds,-25.2986,152.8535,Shelly Bay Resort
146,Kodiak,US,60.31,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
148,Guru Har Sahai,IN,77.68,overcast clouds,30.7167,74.4167,Bedi PG and Guest House
149,Saint-Philippe,RE,67.59,broken clouds,-21.3585,55.7679,Le four à pain
150,Mount Isa,AU,74.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
151,Abong Mbang,CM,65.93,light rain,3.9833,13.1833,Auberge Angle Sur
152,Cabra,ES,67.66,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
153,Solnechnyy,RU,55.18,light rain,50.7214,136.6319,Hotel complex Pastoral
160,Koumac,NC,69.73,overcast clouds,-20.5667,164.2833,Le Monitel
162,Tukrah,LY,77.38,clear sky,32.5341,20.5791,Lagrota restaurant
164,Dingle,PH,81.34,light rain,10.9995,122.6711,SEGAYA PROPERTY
165,Lebanon,US,77.97,clear sky,36.2081,-86.2911,Hampton Inn & Suites Lebanon
166,Vicente Guerrero,MX,57.36,scattered clouds,19.1194,-98.1708,Instituto De Seguridad Y Servicios Sociales De Los Trabajadores Del Estado
167,Vung Tau,VN,79.97,overcast clouds,10.346,107.0843,Seaside Resort
168,Luau,AO,70.07,clear sky,-10.7073,22.2247,Kimbo Hotel
177,Karratha,AU,71.78,clear sky,-20.7377,116.8463,ibis Styles Karratha
178,Pisco,PE,60.85,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
179,Lagoa,PT,72.43,overcast clouds,39.05,-27.9833,Casa Das Faias
180,Alvorada,BR,81.88,scattered clouds,-12.48,-49.1247,Cristal Plaza Hotel
181,Aksu,CN,71.01,clear sky,41.1231,80.2644,Pudong Holiday Hotel
183,Ouargaye,BF,76.26,few clouds,11.5033,0.0572,Résidence le Cotonnier
185,Taloqan,AF,72.91,clear sky,36.7361,69.5345,Saraisang street
186,Broken Hill,AU,62.13,clear sky,-31.95,141.4333,Royal Exchange Hotel
187,Tawau,MY,75.33,light rain,4.2498,117.8871,Shervinton Executive Boutique Hotel
188,Byron Bay,AU,63.95,scattered clouds,-28.65,153.6167,Backpackers Inn
191,Hovd,MN,64.98,clear sky,48.0056,91.6419,Hotel Khovd
192,Namibe,AO,61.25,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
193,Alice Springs,AU,69.35,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
197,Lac Du Bonnet,CA,70.97,clear sky,50.2536,-96.0612,Drifter's Inn
198,Camabatela,AO,63.32,scattered clouds,-8.1881,15.375,Comércio e Prestação de Serviços
199,Beihai,CN,83.25,overcast clouds,21.4833,109.1,21 Degree Hostel
200,Cidreira,BR,60.15,overcast clouds,-30.1811,-50.2056,Hotel Castelo
201,Constitucion,CL,55.17,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
202,Mwinilunga,ZM,65.05,clear sky,-11.7358,24.4293,Kwakuwahi Lodge
203,Swan River,CA,82.29,clear sky,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
206,Noumea,NC,71.58,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
207,Smolenka,RU,55.47,few clouds,52.1352,113.4974,Russkaya Usadba v Zarechye
208,Nelson Bay,AU,60.01,light rain,-32.7167,152.15,Mantra Nelson Bay
211,Buraydah,SA,81.05,clear sky,26.326,43.975,Mövenpick Qassim
212,Cabedelo,BR,72.27,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
213,Iquique,CL,57.24,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
214,Samarai,PG,82.96,clear sky,-10.6167,150.6667,Nuli Sapi
217,Kandi,BJ,72.57,light rain,11.1342,2.9386,Hébergement de la Poste
218,Matara,LK,76.77,light rain,5.9485,80.5353,Amaloh Boutique Resort
221,Shaoyang,CN,80.96,clear sky,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
222,Hambantota,LK,75.54,light rain,6.1241,81.1185,Bungalow 63
223,Umm Lajj,SA,83.73,clear sky,25.0213,37.2685,Moon light Furnished Units
226,Mazamari,PE,70.11,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
229,Geraldton,AU,59.41,light rain,-28.7667,114.6,Broadwater Mariner Resort
230,Cairns,AU,82.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
231,Huarmey,PE,61.75,clear sky,-10.0681,-78.1522,Hotel Miramar
