City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Beringovskiy,RU,63.05,179.3167,43.7,66,100,15.12,overcast clouds
1,Albany,US,42.6001,-73.9662,65.95,94,100,2.17,moderate rain
2,Avarua,CK,-21.2078,-159.775,73.45,94,100,14.97,light rain
3,Butaritari,KI,3.0707,172.7902,81.0,81,100,17.65,light rain
4,Wabag,PG,-5.4781,143.7021,71.24,35,100,4.85,overcast clouds
5,Atuona,PF,-9.8,-139.0333,76.75,66,0,20.65,clear sky
6,San Patricio,US,28.017,-97.5169,82.35,86,100,6.15,overcast clouds
7,North Bend,US,43.4065,-124.2243,84.24,75,0,21.85,clear sky
8,Kewanee,US,41.2456,-89.9248,71.47,87,28,8.77,scattered clouds
9,Souillac,MU,-20.5167,57.5167,70.18,78,40,10.36,scattered clouds
10,Hamilton,US,39.1834,-84.5333,75.76,92,75,3.44,broken clouds
11,Lompoc,US,34.6391,-120.4579,86.58,56,0,9.22,clear sky
12,Mataura,NZ,-46.1927,168.8643,41.49,96,100,5.37,overcast clouds
13,Rikitea,PF,-23.1203,-134.9692,71.64,74,36,18.61,light rain
14,Manavalakurichi,IN,8.1333,77.3,76.8,89,90,17.0,overcast clouds
15,Pedernales,DO,18.0384,-71.744,82.78,76,100,2.17,overcast clouds
16,Leningradskiy,RU,69.3833,178.4167,33.17,100,100,8.01,light snow
17,Ushuaia,AR,-54.8,-68.3,35.26,80,75,9.22,broken clouds
18,Maragogi,BR,-9.0122,-35.2225,73.18,88,37,10.85,scattered clouds
19,Punta Arenas,CL,-53.15,-70.9167,33.91,86,20,18.41,few clouds
20,Korla,CN,41.7597,86.1469,75.13,19,0,0.27,clear sky
21,Ponta Do Sol,PT,32.6667,-17.1,70.72,71,1,1.7,clear sky
22,Corn Island,NI,12.1694,-83.0418,80.6,75,100,1.83,overcast clouds
23,Hilo,US,19.7297,-155.09,88.29,75,75,9.22,broken clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,66.88,64,100,11.01,overcast clouds
25,Notre-Dame-Du-Lac,CA,47.6136,-68.7964,53.87,87,0,3.94,clear sky
26,Lata,PT,40.1629,-8.3327,67.82,98,67,3.42,broken clouds
27,Yulara,AU,-25.2406,130.9889,65.48,34,99,9.22,overcast clouds
28,Sitka,US,57.0531,-135.33,58.89,77,100,5.75,overcast clouds
29,Bytow,PL,54.1706,17.4919,48.33,79,99,5.17,overcast clouds
30,Coihaique,CL,-45.5752,-72.0662,45.21,98,100,4.74,moderate rain
31,Tautira,PF,-17.7333,-149.15,77.2,77,16,14.83,few clouds
32,Bredasdorp,ZA,-34.5322,20.0403,46.71,84,49,7.81,scattered clouds
33,New Norfolk,AU,-42.7826,147.0587,52.72,72,91,1.01,overcast clouds
34,Chokurdakh,RU,70.6333,147.9167,49.44,47,98,8.23,overcast clouds
35,Berlevag,NO,70.8578,29.0864,46.35,81,100,17.27,overcast clouds
36,Calvia,ES,39.5657,2.5062,81.07,86,100,8.95,overcast clouds
37,Bengkulu,ID,-3.8004,102.2655,78.94,81,100,2.46,overcast clouds
38,Nhulunbuy,AU,-12.2333,136.7667,84.81,48,75,12.66,broken clouds
39,Fort Nelson,CA,58.8053,-122.7002,60.39,59,75,11.5,broken clouds
40,Kruisfontein,ZA,-34.0033,24.7314,54.88,63,5,16.71,clear sky
41,Whitewater,US,42.8336,-88.7323,67.82,85,0,7.16,clear sky
42,Port Hardy,CA,50.6996,-127.4199,62.78,63,75,4.61,broken clouds
43,Kapaa,US,22.0752,-159.319,84.52,65,0,10.36,clear sky
44,Upata,VE,8.0086,-62.3989,72.14,95,100,3.02,overcast clouds
45,Vaini,TO,-21.2,-175.2,80.76,74,75,11.5,broken clouds
46,Castro Verde,PT,37.6983,-8.0858,63.82,96,6,5.75,clear sky
47,Nakhon Si Thammarat,TH,8.25,100.0,80.6,81,100,2.15,moderate rain
48,Chumikan,RU,54.7183,135.315,51.15,89,100,18.92,light rain
49,Codajas,BR,-3.8367,-62.0569,80.85,47,47,3.02,scattered clouds
50,Beira,MZ,-19.8436,34.8389,68.27,93,3,6.98,clear sky
51,Busselton,AU,-33.65,115.3333,50.7,85,82,4.81,light rain
52,San Andres,CO,12.5847,-81.7006,82.42,83,75,3.44,broken clouds
53,Carnarvon,AU,-24.8667,113.6333,64.04,56,79,16.24,broken clouds
54,Cape Town,ZA,-33.9258,18.4232,53.11,76,75,6.91,broken clouds
55,Airai,TL,-8.9266,125.4092,73.11,38,66,2.48,broken clouds
56,Hasaki,JP,35.7333,140.8333,84.6,79,100,12.84,overcast clouds
57,Longyearbyen,SJ,78.2186,15.6401,39.04,93,75,5.75,broken clouds
58,Bull Savanna,JM,17.8868,-77.5902,78.57,78,6,1.59,clear sky
59,Jamestown,US,42.097,-79.2353,69.03,72,100,6.91,overcast clouds
60,Coahuayana,MX,18.7333,-103.6833,75.38,97,100,3.91,overcast clouds
61,Vestmannaeyjar,IS,63.4427,-20.2734,53.29,78,88,5.37,overcast clouds
62,Ahipara,NZ,-35.1667,173.1667,57.13,53,1,9.28,clear sky
63,Bluff,NZ,-46.6,168.3333,41.81,61,100,19.08,overcast clouds
64,Hualmay,PE,-11.0964,-77.6139,61.3,80,5,8.16,clear sky
65,Puerto Ayora,EC,-0.7393,-90.3518,68.56,98,98,3.0,overcast clouds
66,Barrow,US,71.2906,-156.7887,39.22,75,100,10.36,overcast clouds
67,Hajduszovat,HU,47.3833,21.4833,62.78,72,100,8.05,light rain
68,Itaituba,BR,-4.2761,-55.9836,81.77,44,37,1.34,scattered clouds
69,Forbes,AU,-33.3833,148.0167,63.91,56,93,6.22,overcast clouds
70,Dikson,RU,73.5069,80.5464,35.92,76,100,22.97,light rain
71,Vanavara,RU,60.34,102.2797,41.58,91,39,7.76,scattered clouds
72,Marsabit,KE,2.3284,37.9899,62.28,62,8,11.72,clear sky
73,Pangody,RU,65.85,74.4859,39.07,91,100,9.93,overcast clouds
74,Khandyga,RU,62.6667,135.6,49.75,64,100,4.99,overcast clouds
75,Enterprise,US,36.0252,-115.2419,108.82,16,20,5.75,few clouds
76,Changli,CN,39.7042,119.1506,68.49,52,0,8.99,clear sky
77,Upernavik,GL,72.7868,-56.1549,40.98,88,100,28.86,light rain
78,Lavrentiya,RU,65.5833,-171.0,43.9,97,100,4.27,overcast clouds
79,Takoradi,GH,4.8845,-1.7554,74.8,91,98,6.51,overcast clouds
80,Omboue,GA,-1.5746,9.2618,74.12,84,14,8.21,few clouds
81,De Panne,BE,51.0792,2.5917,65.23,93,100,10.22,overcast clouds
82,Bridlington,GB,54.0831,-0.1919,64.53,90,62,6.69,broken clouds
83,Grindavik,IS,63.8424,-22.4338,48.67,100,0,8.05,clear sky
84,Hofn,IS,64.2539,-15.2082,52.66,77,11,10.33,few clouds
85,Hithadhoo,MV,-0.6,73.0833,82.04,69,100,18.05,overcast clouds
86,Ribeira Grande,PT,38.5167,-28.7,74.84,84,100,6.76,overcast clouds
87,Port Alfred,ZA,-33.5906,26.891,54.18,69,6,5.01,clear sky
88,Hobart,AU,-42.8794,147.3294,53.06,71,40,3.44,scattered clouds
89,Mar Del Plata,AR,-38.0023,-57.5575,64.42,39,0,9.22,clear sky
90,Luanda,AO,-8.8368,13.2343,69.01,91,56,5.93,broken clouds
91,Williams Lake,CA,52.1415,-122.1445,71.06,28,40,12.66,scattered clouds
92,Sochi,RU,43.6,39.7303,66.29,69,34,9.19,scattered clouds
93,Topeka,US,39.0483,-95.678,78.58,76,0,9.22,clear sky
94,Okhotsk,RU,59.3833,143.3,54.09,69,98,4.12,overcast clouds
95,East London,ZA,-33.0153,27.9116,59.09,53,0,16.93,clear sky
96,Qaanaaq,GL,77.484,-69.3632,41.31,91,100,7.25,light rain
97,Tabou,CI,4.423,-7.3528,74.97,92,98,7.05,light rain
98,Naousa,GR,40.6329,22.0534,65.5,77,55,2.17,broken clouds
99,La Reforma,MX,25.0833,-108.05,85.68,82,6,6.44,clear sky
100,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,83,20,16.11,few clouds
101,Kalat,PK,29.0225,66.5916,64.2,39,0,4.63,clear sky
102,Saint Albans,GB,51.75,-0.3333,64.15,94,20,4.61,few clouds
103,Aklavik,CA,68.2191,-135.0107,40.44,71,98,20.07,overcast clouds
104,Thompson,CA,55.7435,-97.8558,78.96,44,40,5.75,scattered clouds
105,Nantucket,US,41.2835,-70.0995,70.02,92,0,4.61,clear sky
106,Saint-Augustin,CA,51.226,-58.6502,52.74,84,100,6.91,overcast clouds
107,Lima,PE,-12.0432,-77.0282,60.91,79,20,9.22,few clouds
108,Vao,NC,-22.6667,167.4833,67.08,61,100,10.51,overcast clouds
109,Bilma,NE,18.6853,12.9164,91.76,22,1,8.23,clear sky
110,Deder,ET,9.3167,41.45,56.73,79,18,5.26,light rain
111,Castro,BR,-24.7911,-50.0119,51.01,95,34,6.73,scattered clouds
112,Oranjemund,NA,-28.55,16.4333,51.82,68,0,15.05,clear sky
113,Kaitangata,NZ,-46.2817,169.8464,45.63,61,92,13.2,overcast clouds
114,Ilulissat,GL,69.2167,-51.1,41.02,93,100,2.3,mist
115,Cherskiy,RU,68.75,161.3,46.83,59,100,12.91,overcast clouds
116,Alofi,NU,-19.0595,-169.9187,82.29,65,75,11.5,broken clouds
117,Kendari,ID,-3.945,122.4989,76.15,91,100,2.66,overcast clouds
118,Hihya,EG,30.6713,31.588,70.97,93,0,5.77,clear sky
119,Chuy,UY,-33.6971,-53.4616,48.92,80,0,6.62,clear sky
120,Bethel,US,41.3712,-73.414,73.76,89,100,3.44,light rain
121,Kavieng,PG,-2.5744,150.7967,84.15,64,100,6.76,overcast clouds
122,Klaksvik,FO,62.2266,-6.589,56.32,93,80,21.39,light rain
123,Antsohihy,MG,-14.8796,47.9875,70.25,66,0,7.54,clear sky
124,Kidal,ML,18.4411,1.4078,91.27,24,0,6.62,clear sky
125,Luderitz,NA,-26.6481,15.1594,55.54,58,0,15.82,clear sky
126,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,40,10.36,scattered clouds
127,Domoni,KM,-12.2569,44.5319,72.32,82,6,3.56,light rain
128,Asau,RO,46.4333,26.4,45.52,75,78,1.61,light rain
129,Torbay,CA,47.6666,-52.7314,62.76,91,100,11.99,overcast clouds
130,Vostok,RU,46.4856,135.8833,56.41,99,100,1.66,overcast clouds
131,Mahebourg,MU,-20.4081,57.7,70.09,78,40,10.36,scattered clouds
132,Georgetown,MY,5.4112,100.3354,81.9,91,20,3.44,few clouds
133,Maceio,BR,-9.6658,-35.7353,74.64,94,75,4.61,broken clouds
134,Marzuq,YE,14.4,46.4667,81.79,46,100,1.95,overcast clouds
135,Fortuna,US,40.5982,-124.1573,72.09,76,13,3.0,few clouds
136,Hermanus,ZA,-34.4187,19.2345,52.81,80,26,8.79,scattered clouds
137,Provideniya,RU,64.3833,-173.3,50.36,87,100,8.99,overcast clouds
138,Sioux Lookout,CA,50.1001,-91.917,69.87,60,40,5.75,scattered clouds
139,Clyde River,CA,70.4692,-68.5914,37.63,93,100,6.91,overcast clouds
140,Coquimbo,CL,-29.9533,-71.3436,53.33,100,100,5.75,overcast clouds
141,Mount Gambier,AU,-37.8333,140.7667,54.23,62,100,4.97,overcast clouds
142,Narsaq,GL,60.9167,-46.05,48.42,87,100,5.95,overcast clouds
143,Pontianak,ID,-0.0333,109.3333,73.38,94,40,4.61,light rain
144,Pitimbu,BR,-7.4706,-34.8086,72.19,86,48,12.37,scattered clouds
145,Hervey Bay,AU,-25.2986,152.8535,69.03,68,15,5.99,few clouds
146,Kodiak,US,57.79,-152.4072,60.31,63,100,3.44,overcast clouds
147,Verkhoturye,RU,58.8627,60.8054,42.64,77,100,1.03,overcast clouds
148,Guru Har Sahai,IN,30.7167,74.4167,77.68,78,95,4.88,overcast clouds
149,Saint-Philippe,RE,-21.3585,55.7679,67.59,74,55,13.0,broken clouds
150,Mount Isa,AU,-20.7333,139.5,74.97,27,5,4.61,clear sky
151,Abong Mbang,CM,3.9833,13.1833,65.93,100,100,1.88,light rain
152,Cabra,ES,37.4725,-4.4421,67.66,67,100,1.97,overcast clouds
153,Solnechnyy,RU,50.7214,136.6319,55.18,93,100,4.76,light rain
154,Were Ilu,ET,10.6,39.4333,49.33,84,6,3.65,clear sky
155,Kropotkin,RU,45.4375,40.5756,52.56,50,1,2.84,clear sky
156,Vorontsovka,RU,50.6132,40.3549,45.16,72,46,5.86,scattered clouds
157,Tessalit,ML,20.1986,1.0114,91.49,13,0,11.3,clear sky
158,Saint-Louis,SN,16.3333,-15.0,85.64,59,9,9.35,clear sky
159,Reconquista,AR,-29.15,-59.65,54.5,67,0,6.69,clear sky
160,Koumac,NC,-20.5667,164.2833,69.73,73,100,9.86,overcast clouds
161,Severomuysk,RU,56.1481,113.4267,40.06,80,100,4.81,overcast clouds
162,Tukrah,LY,32.5341,20.5791,77.38,71,2,14.14,clear sky
163,Yumen,CN,40.2833,97.2,69.01,17,0,8.7,clear sky
164,Dingle,PH,10.9995,122.6711,81.34,82,100,8.19,light rain
165,Lebanon,US,36.2081,-86.2911,77.97,89,0,3.44,clear sky
166,Vicente Guerrero,MX,19.1194,-98.1708,57.36,90,45,4.27,scattered clouds
167,Vung Tau,VN,10.346,107.0843,79.97,84,100,7.25,overcast clouds
168,Luau,AO,-10.7073,22.2247,70.07,45,8,3.94,clear sky
169,Ponca City,US,36.707,-97.0856,86.02,54,34,8.14,scattered clouds
170,Raudeberg,NO,61.9875,5.1352,54.27,25,23,6.02,few clouds
171,Bilibino,RU,68.0546,166.4372,37.26,81,100,4.99,overcast clouds
172,Vanimo,PG,-2.6741,141.3028,85.1,66,87,8.68,overcast clouds
173,Kholuy,RU,56.575,41.8692,43.29,92,100,6.96,overcast clouds
174,Shumyachi,RU,53.8583,32.4242,42.98,85,98,5.79,overcast clouds
175,Dunedin,NZ,-45.8742,170.5036,44.8,64,100,15.01,overcast clouds
176,Kralendijk,BQ,12.15,-68.2667,85.98,84,0,13.8,clear sky
177,Karratha,AU,-20.7377,116.8463,71.78,35,0,10.92,clear sky
178,Pisco,PE,-13.7,-76.2167,60.85,82,75,6.91,broken clouds
179,Lagoa,PT,39.05,-27.9833,72.43,76,95,7.94,overcast clouds
180,Alvorada,BR,-12.48,-49.1247,81.88,28,28,4.7,scattered clouds
181,Aksu,CN,41.1231,80.2644,71.01,24,4,3.06,clear sky
182,Porosozero,RU,62.7191,32.727,43.84,88,100,6.98,overcast clouds
183,Ouargaye,BF,11.5033,0.0572,76.26,84,16,6.96,few clouds
184,Tuatapere,NZ,-46.1333,167.6833,46.08,64,97,11.25,overcast clouds
185,Taloqan,AF,36.7361,69.5345,72.91,18,0,5.57,clear sky
186,Broken Hill,AU,-31.95,141.4333,62.13,38,7,9.69,clear sky
187,Tawau,MY,4.2498,117.8871,75.33,94,100,3.11,light rain
188,Byron Bay,AU,-28.65,153.6167,63.95,69,49,11.65,scattered clouds
189,Olafsvik,IS,64.8945,-23.7142,50.38,70,100,4.94,overcast clouds
190,Nanortalik,GL,60.1432,-45.2371,43.95,94,100,6.2,overcast clouds
191,Hovd,MN,48.0056,91.6419,64.98,30,10,1.9,clear sky
192,Namibe,AO,-15.1961,12.1522,61.25,91,23,3.15,few clouds
193,Alice Springs,AU,-23.7,133.8833,69.35,28,100,11.5,overcast clouds
194,Zhaoqing,CN,23.0512,112.4597,86.83,53,41,2.39,scattered clouds
195,Bloemfontein,ZA,-29.1211,26.214,35.08,75,0,2.3,clear sky
196,Krasnyye Baki,RU,57.131,45.1599,44.17,97,100,5.64,overcast clouds
197,Lac Du Bonnet,CA,50.2536,-96.0612,70.97,40,0,12.86,clear sky
198,Camabatela,AO,-8.1881,15.375,63.32,88,38,2.42,scattered clouds
199,Beihai,CN,21.4833,109.1,83.25,57,95,8.08,overcast clouds
200,Cidreira,BR,-30.1811,-50.2056,60.15,81,87,16.98,overcast clouds
201,Constitucion,CL,-35.3333,-72.4167,55.17,83,1,5.77,clear sky
202,Mwinilunga,ZM,-11.7358,24.4293,65.05,35,0,2.33,clear sky
203,Swan River,CA,52.1058,-101.2676,82.29,39,0,9.22,clear sky
204,Mehamn,NO,71.0357,27.8492,46.31,87,100,16.11,overcast clouds
205,Santa Maria,BR,-29.6842,-53.8069,54.7,88,0,4.61,clear sky
206,Noumea,NC,-22.2763,166.4572,71.58,65,100,10.18,overcast clouds
207,Smolenka,RU,52.1352,113.4974,55.47,71,20,6.71,few clouds
208,Nelson Bay,AU,-32.7167,152.15,60.01,94,78,5.99,light rain
209,Saldanha,ZA,-33.0117,17.9442,50.05,77,21,3.2,few clouds
210,Baltay,RU,52.4652,46.6308,46.02,59,93,5.14,overcast clouds
211,Buraydah,SA,26.326,43.975,81.05,11,0,7.52,clear sky
212,Cabedelo,BR,-6.9811,-34.8339,72.27,87,28,11.97,scattered clouds
213,Iquique,CL,-20.2208,-70.1431,57.24,70,50,2.73,scattered clouds
214,Samarai,PG,-10.6167,150.6667,82.96,73,2,9.4,clear sky
215,Talaya,RU,61.3833,152.75,53.56,41,6,5.55,clear sky
216,Kem,RU,64.9555,34.5793,46.96,89,100,11.68,light rain
217,Kandi,BJ,11.1342,2.9386,72.57,95,23,3.53,light rain
218,Matara,LK,5.9485,80.5353,76.77,91,100,11.72,light rain
219,Indian Harbour Beach,US,28.1489,-80.5884,87.04,78,0,11.5,clear sky
220,Talnakh,RU,69.4865,88.3972,40.21,96,100,2.1,light rain
221,Shaoyang,CN,27.2315,111.4525,80.96,40,6,1.88,clear sky
222,Hambantota,LK,6.1241,81.1185,75.54,100,40,6.91,light rain
223,Umm Lajj,SA,25.0213,37.2685,83.73,77,0,3.31,clear sky
224,Ozu,JP,33.5,132.55,89.22,81,100,23.35,overcast clouds
225,Vardo,NO,70.3705,31.1107,46.38,76,100,17.27,overcast clouds
226,Mazamari,PE,-11.3258,-74.5308,70.11,71,76,1.74,broken clouds
227,Husavik,IS,66.0449,-17.3389,50.61,86,100,1.7,overcast clouds
228,Mill Valley,US,37.906,-122.545,110.88,65,5,6.98,clear sky
229,Geraldton,AU,-28.7667,114.6,59.41,77,75,18.41,light rain
230,Cairns,AU,-16.9167,145.7667,82.06,71,100,8.05,overcast clouds
231,Huarmey,PE,-10.0681,-78.1522,61.75,82,10,7.83,clear sky
232,Synya,RU,65.3718,58.0387,41.83,98,100,5.99,overcast clouds
233,Hailar,CN,49.2,119.7,49.24,51,7,4.85,clear sky
234,Khor,RU,47.8861,134.9464,64.29,83,100,4.59,light rain
235,Yeppoon,AU,-23.1333,150.7333,71.38,74,72,14.54,broken clouds
236,Bambanglipuro,ID,-7.95,110.2833,79.72,78,61,8.93,broken clouds
237,Lasa,IT,46.6166,10.7002,57.36,86,0,0.74,clear sky
238,Poum,NC,-20.2333,164.0167,68.9,78,100,12.33,overcast clouds
239,Brigantine,US,39.4101,-74.3646,77.2,85,0,8.05,clear sky
240,Gainesville,US,29.6516,-82.3248,85.08,81,57,1.07,broken clouds
241,Brae,GB,60.3964,-1.353,58.53,89,98,21.05,overcast clouds
242,Santiago Del Estero,AR,-27.7951,-64.2615,63.18,22,0,7.94,clear sky
243,Qarqin,AF,37.4185,66.0436,73.47,18,0,3.0,clear sky
244,Pangkalanbuun,ID,-2.6833,111.6167,80.71,77,98,3.11,overcast clouds
245,Ust-Ishim,RU,57.6935,71.1665,39.43,90,33,4.76,scattered clouds
246,Tiksi,RU,71.6872,128.8694,45.97,53,99,16.15,overcast clouds
247,Severnoye,RU,56.3491,78.3619,47.77,97,100,5.46,light rain
248,Yellowknife,CA,62.456,-114.3525,57.72,77,75,10.36,broken clouds
249,Yablochnyy,RU,47.1661,142.0661,67.24,98,100,6.8,overcast clouds
250,Naryan-Mar,RU,67.6713,53.087,44.4,95,100,8.48,overcast clouds
251,Shimoda,JP,34.6667,138.95,86.36,69,51,7.14,broken clouds
252,Jeremie,HT,18.65,-74.1167,82.13,83,47,5.08,scattered clouds
253,Ponta Delgada,PT,37.7333,-25.6667,73.51,83,20,1.14,few clouds
254,Wanning,CN,18.8003,110.3967,83.12,61,65,3.11,broken clouds
255,Katsuura,JP,35.1333,140.3,83.44,71,67,10.29,broken clouds
256,Isangel,VU,-19.55,169.2667,73.51,88,100,11.5,heavy intensity rain
257,Kuusamo,FI,65.9667,29.1833,44.64,93,20,4.61,few clouds
258,General Roca,AR,-39.0333,-67.5833,69.21,14,96,6.42,overcast clouds
259,Ormara,PK,25.2088,64.6357,80.65,78,51,7.23,broken clouds
260,Salalah,OM,17.0151,54.0924,76.71,93,100,4.76,overcast clouds
261,Pyaozerskiy,RU,65.8333,31.1667,46.36,89,100,7.27,light rain
262,Ginir,ET,7.1333,40.7,59.04,85,74,3.09,light rain
263,Bonavista,CA,48.6499,-53.1147,59.97,91,100,12.8,overcast clouds
264,Pires Do Rio,BR,-17.2997,-48.2794,73.26,37,58,5.5,broken clouds
265,Chadiza,ZM,-14.0678,32.4392,62.4,47,0,2.62,clear sky
266,Yelovo,RU,57.0538,54.9207,46.22,78,100,2.64,overcast clouds
267,Antibes,FR,43.5624,7.1278,74.68,68,0,2.3,clear sky
268,Churapcha,RU,62.0025,132.4325,54.48,59,99,10.54,overcast clouds
269,Esperance,AU,-33.8667,121.9,57.04,78,83,11.79,broken clouds
270,Slantsy,RU,59.1182,28.0914,46.11,75,100,4.41,overcast clouds
271,Gigmoto,PH,13.7796,124.39,85.08,75,78,6.69,broken clouds
272,Nikolskoye,RU,59.7035,30.7861,46.87,77,92,4.16,overcast clouds
273,Guia Lopes Da Laguna,BR,-21.4578,-56.1142,68.79,69,100,5.01,overcast clouds
274,Norman Wells,CA,65.282,-126.8329,46.44,87,100,19.57,light rain
275,Goderich,CA,43.7501,-81.7165,70.12,78,100,3.44,overcast clouds
276,Moron,AR,-34.6534,-58.6198,61.97,61,0,5.19,clear sky
277,Krasnyy Yar,RU,46.5331,48.3456,53.53,55,3,6.13,clear sky
278,Margate,GB,51.3813,1.3862,65.3,92,100,1.99,light rain
279,Saurimo,AO,-9.6608,20.3916,68.86,69,3,4.47,clear sky
280,Sungurlu,TR,40.1675,34.3739,58.51,85,100,5.61,overcast clouds
281,Tateyama,JP,34.9833,139.8667,82.92,73,13,11.43,few clouds
282,Cabo San Lucas,MX,22.8909,-109.9124,89.62,85,100,0.13,overcast clouds
283,Frunze,UA,48.6686,38.7544,46.51,88,52,5.73,broken clouds
284,Petatlan,MX,17.5167,-101.2667,78.1,87,100,10.27,overcast clouds
285,Oriximina,BR,-1.7656,-55.8661,82.04,54,61,2.46,broken clouds
286,Lebu,CL,-37.6167,-73.65,49.21,76,40,3.31,scattered clouds
287,Xining,CN,36.6167,101.7667,52.65,57,0,2.71,clear sky
288,Dasoguz,TM,41.8363,59.9666,71.55,49,0,11.5,clear sky
289,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,95,20,10.36,few clouds
290,Camacha,PT,33.0833,-16.3333,67.42,83,20,6.91,few clouds
291,Bela,IN,25.9333,81.9833,82.6,71,77,3.65,broken clouds
292,Talavera,PH,15.6167,120.9333,81.68,83,100,3.47,overcast clouds
293,Camacupa,AO,-12.0167,17.4833,65.89,58,61,1.95,broken clouds
294,Numan,NG,9.4667,12.0333,72.39,96,98,4.25,light rain
295,Havelock,US,34.8791,-76.9013,84.18,83,67,1.01,broken clouds
296,Kita,ML,13.0349,-9.4895,73.92,86,100,2.46,overcast clouds
297,Port Elizabeth,ZA,-33.918,25.5701,57.49,65,0,17.27,clear sky
298,Ostrovnoy,RU,68.0531,39.5131,45.55,92,100,18.01,light rain
299,Lorengau,PG,-2.0226,147.2712,85.12,62,92,9.4,overcast clouds
300,Iqaluit,CA,63.7506,-68.5145,40.73,80,75,6.91,broken clouds
301,Naze,JP,28.3667,129.4833,81.52,81,100,12.24,overcast clouds
302,Batagay-Alyta,RU,67.8006,130.4114,42.84,50,100,4.54,overcast clouds
303,Neyshabur,IR,36.2133,58.7958,69.57,19,0,2.33,clear sky
