City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2022-09-02 03:35:06,22.0752,-159.319,84.18,71,20,16.11
1,Avarua,CK,2022-09-02 03:35:06,-21.2078,-159.775,78.85,83,75,6.91
2,Rodrigues Alves,BR,2022-09-02 03:35:07,-7.738,-72.6509,74.46,65,66,1.92
3,Necochea,AR,2022-09-02 03:35:07,-38.5473,-58.7368,47.39,83,92,15.88
4,Georgetown,MY,2022-09-02 03:34:16,5.4112,100.3354,87.89,78,40,7.0
5,Bredasdorp,ZA,2022-09-02 03:35:07,-34.5322,20.0403,47.28,91,3,5.39
6,Tasiilaq,GL,2022-09-02 03:35:08,65.6145,-37.6368,41.16,68,100,3.89
7,Albany,US,2022-09-02 03:35:08,42.6001,-73.9662,57.63,77,0,4.83
8,Mar Del Plata,AR,2022-09-02 03:34:17,-38.0023,-57.5575,48.94,87,0,15.01
9,Hithadhoo,MV,2022-09-02 03:35:08,-0.6,73.0833,81.73,72,8,17.58
10,Atuona,PF,2022-09-02 03:35:08,-9.8,-139.0333,76.44,75,5,22.39
11,Ushuaia,AR,2022-09-02 03:35:09,-54.8,-68.3,37.06,81,20,9.22
12,Acari,PE,2022-09-02 03:35:09,-15.4311,-74.6158,61.45,75,38,4.38
13,Bluff,NZ,2022-09-02 03:35:09,-46.6,168.3333,57.79,77,75,5.86
14,Carnarvon,AU,2022-09-02 03:35:10,-24.8667,113.6333,70.32,71,100,22.75
15,Ribeira Grande,PT,2022-09-02 03:35:10,38.5167,-28.7,72.68,79,68,15.12
16,Rikitea,PF,2022-09-02 03:35:10,-23.1203,-134.9692,72.59,74,1,13.15
17,Qaanaaq,GL,2022-09-02 03:35:10,77.484,-69.3632,30.6,67,89,6.67
18,Hilo,US,2022-09-02 03:35:11,19.7297,-155.09,80.33,72,75,6.91
19,New Norfolk,AU,2022-09-02 03:35:11,-42.7826,147.0587,56.91,57,68,5.01
20,Pangnirtung,CA,2022-09-02 03:35:11,66.1451,-65.7125,42.4,98,100,2.35
21,Ranau,MY,2022-09-02 03:35:12,5.9538,116.6641,83.32,71,95,1.63
